text,font_size,is_bold,is_caps,y_pos,page,text_length,label
18 JUNE 2013,9.960000038146973,0,1,151.80621337890625,3,12,Other
Initial version,9.960000038146973,0,0,151.80621337890625,3,15,Other
0.2,9.960000038146973,0,0,164.04620361328125,3,3,Other
23 JULY 2013,9.960000038146973,0,1,164.04620361328125,3,12,Other
WG reviewed and confirmed,9.960000038146973,0,0,164.04620361328125,3,25,Other
0.3,9.960000038146973,0,0,176.28619384765625,3,3,Other
6 NOV 2013,9.960000038146973,0,1,176.28619384765625,3,10,Other
amended population and diagram,9.960000038146973,0,0,176.28619384765625,3,30,Other
0.7,9.960000038146973,0,0,188.52618408203125,3,3,Other
11 DEC 2013,9.960000038146973,0,1,188.52618408203125,3,11,Other
Amended Business Outcomes and Chapters matching,9.960000038146973,0,0,188.52618408203125,3,47,Other
0.8,9.960000038146973,0,0,200.7662353515625,3,3,Other
20 DEC 2013,9.960000038146973,0,1,200.7662353515625,3,11,Other
Working group updates on 0.7,9.960000038146973,0,0,200.7662353515625,3,28,Other
1.0,9.960000038146973,0,0,213.0062255859375,3,3,Other
31 MAY 2014,9.960000038146973,0,1,213.0062255859375,3,11,Other
GA release for Agile Extension,9.960000038146973,0,0,213.0062255859375,3,30,Other
Version 2014,9.960000038146973,0,0,718.6875610351562,3,12,Other
Page 3 of 12,9.960000038146973,0,0,718.6875610351562,3,12,Other
"May 31, 2014",9.960000038146973,0,0,718.6875610351562,3,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,3,53,Other
..........................................................................................................................................,9.960000038146973,1,0,144.7261962890625,4,138,Other
........................................................................................................................................,9.960000038146973,1,0,162.1263427734375,4,136,Other
............................................................................,9.960000038146973,1,0,179.64599609375,4,76,Other
...............................................................,9.960000038146973,1,0,197.1656494140625,4,63,Other
.....................................................................................................................,9.960000038146973,0,0,214.8048095703125,4,117,Other
............................................................................................................,9.960000038146973,0,0,226.32855224609375,4,108,Other
...................................................................................................................,9.960000038146973,0,0,237.76263427734375,4,115,Other
...................................................................................................................,9.960000038146973,0,0,249.286376953125,4,115,Other
...................................................................................................,9.960000038146973,0,0,260.81011962890625,4,99,Other
......................................................................................................................,9.960000038146973,0,0,272.3338317871094,4,118,Other
.........................................,9.960000038146973,1,0,289.73394775390625,4,41,Other
.................................................................................................................,9.960000038146973,0,0,307.37310791015625,4,113,Other
....................................................................................................................................,9.960000038146973,0,0,318.7773132324219,4,132,Other
..........................................................................................................................................,9.960000038146973,1,0,336.17742919921875,4,138,Other
.............................................................................................................................,9.960000038146973,0,0,353.81658935546875,4,125,Other
.......................................................................................................,9.960000038146973,0,0,365.3403015136719,4,103,Other
International,9.960000038146973,0,0,38.62621307373047,4,13,Other
Overview,12.0,0,0,41.58000183105469,4,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,4,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,4,43,Other
Qualifications,9.960000038146973,0,0,61.66619110107422,4,14,Other
Board,9.960000038146973,0,0,61.66619110107422,4,5,Other
Table of Contents,15.960000038146973,1,0,108.93620300292969,4,17,Other
Revision History,9.960000038146973,1,0,144.7261962890625,4,16,Other
Table of Contents,9.960000038146973,1,0,162.1263427734375,4,17,Other
1.,9.960000038146973,1,0,179.64599609375,4,2,Other
Introduction to the Foundation Level Extensions,9.960000038146973,1,0,179.64599609375,4,47,Other
2.,9.960000038146973,1,0,197.1656494140625,4,2,Other
Introduction to Foundation Level Agile Tester Extension,9.960000038146973,1,0,197.1656494140625,4,55,Other
2.1,9.960000038146973,0,0,214.8048095703125,4,3,Other
Intended Audience,9.960000038146973,0,0,214.8048095703125,4,17,Other
2.2,9.960000038146973,0,0,226.32855224609375,4,3,Other
Career Paths for Testers,9.960000038146973,0,0,226.32855224609375,4,24,Other
2.3,9.960000038146973,0,0,237.76263427734375,4,3,Other
Learning Objectives,9.960000038146973,0,0,237.76263427734375,4,19,Other
2.4,9.960000038146973,0,0,249.286376953125,4,3,Other
Entry Requirements,9.960000038146973,0,0,249.286376953125,4,18,Other
2.5,9.960000038146973,0,0,260.81011962890625,4,3,Other
Structure and Course Duration,9.960000038146973,0,0,260.81011962890625,4,29,Other
2.6,9.960000038146973,0,0,272.3338317871094,4,3,Other
Keeping It Current,9.960000038146973,0,0,272.3338317871094,4,18,Other
3.,9.960000038146973,1,0,289.73394775390625,4,2,Other
Overview of the Foundation Level Extension –   Agile Tester Syllabus,9.960000038146973,1,0,288.2598571777344,4,68,Other
10,9.960000038146973,1,0,289.73394775390625,4,2,Other
3.1,9.960000038146973,0,0,307.37310791015625,4,3,Other
Business Outcomes,9.960000038146973,0,0,307.37310791015625,4,17,Other
10,9.960000038146973,0,0,307.37310791015625,4,2,Other
3.2,9.960000038146973,0,0,318.7773132324219,4,3,Other
Content,9.960000038146973,0,0,318.7773132324219,4,7,Other
10,9.960000038146973,0,0,318.7773132324219,4,2,Other
4.,9.960000038146973,1,0,336.17742919921875,4,2,Other
References,9.960000038146973,1,0,336.17742919921875,4,10,Other
12,9.960000038146973,1,0,336.17742919921875,4,2,Other
4.1,9.960000038146973,0,0,353.81658935546875,4,3,Other
Trademarks,9.960000038146973,0,0,353.81658935546875,4,10,Other
12,9.960000038146973,0,0,353.81658935546875,4,2,Other
4.2,9.960000038146973,0,0,365.3403015136719,4,3,Other
Documents and Web Sites,9.960000038146973,0,0,365.3403015136719,4,23,Other
12,9.960000038146973,0,0,365.3403015136719,4,2,Other
Version 2014,9.960000038146973,0,0,718.711181640625,4,12,Other
Page 4 of 12,9.960000038146973,0,0,718.711181640625,4,12,Other
"May 31, 2014",9.960000038146973,0,0,718.711181640625,4,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,4,53,Other
International,9.960000038146973,0,0,38.62621307373047,5,13,Other
Overview,12.0,0,0,41.58000183105469,5,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,5,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,5,43,Other
Qualifications,9.960000038146973,0,0,61.66619110107422,5,14,Other
Board,9.960000038146973,0,0,61.66619110107422,5,5,Other
Acknowledgements,15.960000038146973,0,0,108.93620300292969,5,16,Other
This document was produced by a team from the International Software Testing Qualifications Board,9.960000038146973,0,0,144.84619140625,5,97,Other
Foundation Level Working Group.,9.960000038146973,0,0,156.2503662109375,5,31,Other
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,9.960000038146973,0,0,179.287841796875,5,104,Other
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.960000038146973,0,0,202.3253173828125,5,100,Other
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.960000038146973,0,0,213.7294921875,5,94,Other
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.960000038146973,0,0,225.25323486328125,5,99,Other
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",9.960000038146973,0,0,236.80682373046875,5,88,Other
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.960000038146973,0,0,259.84429931640625,5,93,Other
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",9.960000038146973,0,0,271.3680114746094,5,71,Other
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.960000038146973,0,0,294.2859802246094,5,89,Other
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.960000038146973,0,0,305.8096923828125,5,97,Other
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",9.960000038146973,0,0,317.3334045410156,5,95,Other
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",9.960000038146973,0,0,328.85711669921875,5,56,Other
"The team thanks also the following persons, from the National Boards and the Agile expert community,",9.960000038146973,0,0,351.77508544921875,5,100,Other
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.960000038146973,0,0,363.2987976074219,5,105,Other
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",9.960000038146973,0,0,374.8226318359375,5,96,Other
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.960000038146973,0,0,386.36627197265625,5,99,Other
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.960000038146973,0,0,397.8899841308594,5,109,Other
"Morgan,   Ninna Morin,   Ingvar Nordstrom,   Chris   O’Dea,   Klaus   Olsen, Ismo   Paukamainen,   Nathalie Phung,",9.960000038146973,0,0,407.9396057128906,5,114,Other
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",9.960000038146973,0,0,420.8179016113281,5,101,Other
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",9.960000038146973,0,0,432.34161376953125,5,93,Other
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",9.960000038146973,0,0,443.8653259277344,5,100,Other
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",9.960000038146973,0,0,455.3890380859375,5,81,Other
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",9.960000038146973,0,0,478.3069763183594,5,96,Other
2014.,9.960000038146973,0,0,489.8306884765625,5,5,Other
Version 2014,9.960000038146973,0,0,718.7413940429688,5,12,Other
Page 5 of 12,9.960000038146973,0,0,718.7413940429688,5,12,Other
"May 31, 2014",9.960000038146973,0,0,718.7413940429688,5,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,5,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,6,20,Other
International,9.960000038146973,0,0,38.62621307373047,6,13,Other
Overview,12.0,0,0,41.58000183105469,6,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,6,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,6,43,Other
1.  Introduction to the Foundation Level Extensions,15.960000038146973,0,0,122.97618103027344,6,51,Other
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,9.960000038146973,0,0,146.28619384765625,6,92,Other
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,9.960000038146973,0,0,157.8099365234375,6,106,Other
extension syllabi.,9.960000038146973,0,0,169.33367919921875,6,18,Other
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",9.960000038146973,0,0,192.25164794921875,6,101,Other
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",9.960000038146973,0,0,203.775390625,6,102,Other
updated document will be available on the ISTQB website.,9.960000038146973,0,0,215.29913330078125,6,56,Other
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,9.960000038146973,0,0,238.36651611328125,6,97,Other
some time. New topics emerge due to technology and methodology changes in the market which often,9.960000038146973,0,0,249.77069091796875,6,96,Other
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",9.960000038146973,0,0,261.29443359375,6,106,Other
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",9.960000038146973,0,0,272.8181457519531,6,106,Other
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,9.960000038146973,0,0,284.34185791015625,6,92,Other
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",9.960000038146973,0,0,295.8655700683594,6,102,Other
that is beyond the scope of this document.,9.960000038146973,0,0,307.3892822265625,6,42,Other
The following Foundation Level Extension syllabus has been released:,9.960000038146973,0,0,330.3072509765625,6,68,Other
Agile Tester,9.960000038146973,0,0,342.548095703125,6,12,Other
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",9.960000038146973,0,0,365.466064453125,6,100,Other
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,9.960000038146973,0,0,376.9897766113281,6,93,Other
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",9.960000038146973,0,0,388.5334167480469,6,106,Other
will outline the benefits for companies that are considering the development of specific testing skills at this,9.960000038146973,0,0,400.05712890625,6,111,Other
level.,9.960000038146973,0,0,411.5808410644531,6,6,Other
Version 2014,9.960000038146973,0,0,718.727294921875,6,12,Other
Page 6 of 12,9.960000038146973,0,0,718.727294921875,6,12,Other
"May 31, 2014",9.960000038146973,0,0,718.727294921875,6,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,6,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,7,20,Other
International,9.960000038146973,0,0,38.62621307373047,7,13,Other
Overview,12.0,0,0,41.58000183105469,7,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,7,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,7,43,Other
2.  Introduction to Foundation Level Agile Tester Extension,15.960000038146973,0,0,122.97618103027344,7,59,Other
The certification for Foundation Level Extension –   Agile Tester is designed for professionals who are,9.960000038146973,0,0,144.81210327148438,7,103,Other
working within Agile environments. It is also for professionals who are planning to start implementing,9.960000038146973,0,0,157.8099365234375,7,102,Other
"Agile methods in the near future, or are working within companies that plan to do so, The certification",9.960000038146973,0,0,169.33367919921875,7,103,Other
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",9.960000038146973,0,0,180.857421875,7,105,Other
methodologies specific to their role.,9.960000038146973,0,0,192.2615966796875,7,37,Other
2.1 Intended Audience,14.039999961853027,0,0,217.35379028320312,7,21,Other
The Foundation Level Extension –   Agile Tester qualification is aimed at four main groups of professionals:,9.960000038146973,0,0,239.40213012695312,7,108,Other
1. Professionals who have achieved in-depth testing experience in traditional methods and would,9.960000038146973,0,0,252.39996337890625,7,95,Other
like to get an Agile Tester Certificate.,9.960000038146973,0,0,263.9237060546875,7,40,Other
"2. Junior professional testers who are just starting in the testing profession, have received the",9.960000038146973,0,0,275.4474182128906,7,97,Other
"Foundation Level certificate, and would like to know more about   the   tester’s   role in an Agile",9.960000038146973,0,0,285.4970397949219,7,99,Other
environment.,9.960000038146973,0,0,298.3753356933594,7,12,Other
"3. Professionals who are relatively new to testing and are required to implement test approaches,",9.960000038146973,0,0,309.8990478515625,7,97,Other
methods and techniques in their day to day job in Agile projects.,9.960000038146973,0,0,321.4227600097656,7,65,Other
4. Professionals who are experienced in their role (including unit testing) and need more,9.960000038146973,0,0,332.94647216796875,7,89,Other
understanding and knowledge about how to perform and manage testing on all levels in Agile,9.960000038146973,0,0,344.4701843261719,7,90,Other
projects.,9.960000038146973,0,0,355.993896484375,7,9,Other
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",9.960000038146973,0,0,378.911865234375,7,104,Other
"consultants, test managers, user acceptance testers, and software developers.",9.960000038146973,0,0,390.45550537109375,7,77,Other
This Foundation Level Extension –   Agile Tester certification may also be appropriate for anyone who,9.960000038146973,0,0,412.0188903808594,7,101,Other
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",9.960000038146973,0,0,425.0166931152344,7,102,Other
"managers, software development managers, business analysts, IT directors, and management",9.960000038146973,0,0,436.4208984375,7,88,Other
consultants.,9.960000038146973,0,0,447.9446105957031,7,12,Other
2.2 Career Paths for Testers,14.039999961853027,0,0,484.5238037109375,7,28,Other
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",9.960000038146973,0,0,508.0162353515625,7,104,Other
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,9.960000038146973,0,0,519.5399169921875,7,104,Other
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,9.960000038146973,0,0,531.0635986328125,7,109,Other
an Agile project.,9.960000038146973,0,0,542.4678344726562,7,17,Other
People possessing an ISTQB Foundation Level Extension –   Agile Tester certificate may use the Certified,9.960000038146973,0,0,564.0610961914062,7,104,Other
Tester Foundation Level acronym CTFL-AT.,9.960000038146973,0,0,577.0588989257812,7,40,Other
2.3 Learning Objectives,14.039999961853027,0,0,613.673828125,7,23,Other
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",9.960000038146973,0,0,637.1661987304688,7,106,Other
remember and recall terms and concepts stated in the Foundation Level syllabus.,9.960000038146973,0,0,648.68994140625,7,79,Other
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",9.960000038146973,0,0,671.6078491210938,7,104,Other
extension exam.,9.960000038146973,0,0,683.1216430664062,7,15,Other
Version 2014,9.960000038146973,0,0,718.6888427734375,7,12,Other
Page 7 of 12,9.960000038146973,0,0,718.6888427734375,7,12,Other
"May 31, 2014",9.960000038146973,0,0,718.6888427734375,7,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,7,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,8,20,Other
International,9.960000038146973,0,0,38.62621307373047,8,13,Other
Overview,12.0,0,0,41.58000183105469,8,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,8,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,8,43,Other
"That said, each extension level exam focuses on the learning objectives defined in that extension",9.960000038146973,0,0,108.84618377685547,8,97,Other
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",9.960000038146973,0,0,120.36992645263672,8,105,Other
chapter within each particular extension syllabus.,9.960000038146973,0,0,131.8936767578125,8,50,Other
2.4 Entry Requirements,14.039999961853027,0,0,156.99380493164062,8,22,Other
"To be able to participate in a Foundation Level Extension –   Agile Tester exam, candidates must have",9.960000038146973,0,0,179.01211547851562,8,101,Other
obtained the ISTQB Foundation Level certificate.,9.960000038146973,0,0,192.00994873046875,8,48,Other
2.5 Structure and Course Duration,14.039999961853027,0,0,217.11380004882812,8,33,Other
The Foundation Level Extension –   Agile Tester syllabus has no shared or common elements with the,9.960000038146973,0,0,239.16213989257812,8,98,Other
Foundation Level syllabus.,9.960000038146973,0,0,252.15997314453125,8,26,Other
The syllabi must be taught in the following minimum number of days:,9.960000038146973,0,0,275.07794189453125,8,67,Other
Syllabus,9.960000038146973,1,0,301.4761962890625,8,8,Other
Days,9.960000038146973,1,0,301.4761962890625,8,4,Other
Baseline: Foundation,9.960000038146973,0,0,319.59619140625,8,20,Other
Extension: Agile Tester,9.960000038146973,0,0,337.59619140625,8,23,Other
The following figure shows the structure of the Agile Tester Extension and its relationship to the,9.960000038146973,0,0,367.1162109375,8,98,Other
Foundation Level.,9.960000038146973,0,0,378.6399230957031,8,17,Other
Version 2014,9.960000038146973,0,0,718.6875610351562,8,12,Other
Page 8 of 12,9.960000038146973,0,0,718.6875610351562,8,12,Other
"May 31, 2014",9.960000038146973,0,0,718.6875610351562,8,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,8,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,9,20,Other
International,9.960000038146973,0,0,38.62621307373047,9,13,Other
Overview,12.0,0,0,41.58000183105469,9,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,9,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,9,43,Other
2.6 Keeping It Current,14.039999961853027,0,0,133.95376586914062,9,22,Other
The software industry changes rapidly. To deal with these changes and to provide the stakeholders with,9.960000038146973,0,0,157.44622802734375,9,102,Other
"access to relevant and current information, the ISTQB working groups have created links on the",9.960000038146973,0,0,168.969970703125,9,94,Other
"www.istqb.org web site which refer to supporting documents, changes to standards and new occurrences",9.960000038146973,0,0,180.49371337890625,9,100,Other
in the industry. This information is not examinable under this syllabus.,9.960000038146973,0,0,192.0174560546875,9,72,Other
Version 2014,9.960000038146973,0,0,718.7022705078125,9,12,Other
Page 9 of 12,9.960000038146973,0,0,718.7022705078125,9,12,Other
"May 31, 2014",9.960000038146973,0,0,718.7022705078125,9,12,Other
© International Software Testing Qualifications Board,6.0,0,0,736.8900146484375,9,53,Other
Qualifications Board,9.960000038146973,0,0,61.66619110107422,10,20,Other
International,9.960000038146973,0,0,38.62621307373047,10,13,Other
Overview,12.0,0,0,41.58000183105469,10,8,Other
Software Testing,9.960000038146973,0,0,50.14617156982422,10,16,Other
Foundation Level Extension –   Agile Tester,9.960000038146973,0,0,56.95212173461914,10,43,Other
3.  Overview of the Foundation Level Extension –   Agile Tester,15.960000038146973,0,0,117.49411010742188,10,63,Other
Syllabus,15.960000038146973,1,0,138.33787536621094,10,8,Other
3.1 Business Outcomes,14.039999961853027,0,0,187.95376586914062,10,21,Other
This section lists the Business Outcomes expected of a candidate who has achieved the Foundation Level,9.960000038146973,0,0,211.44622802734375,10,102,Other
Extension –   Agile Tester certification.,9.960000038146973,0,0,221.49588012695312,10,41,Other
An Agile Tester can…,9.960000038146973,0,0,244.44369506835938,10,20,Other
AFM1,9.960000038146973,0,1,268.9561767578125,10,4,Other
Collaborate in a cross-functional Agile team being familiar with principles and basic,9.960000038146973,0,0,268.9561767578125,10,85,Other
practices of Agile software development.,9.960000038146973,0,0,280.4761962890625,10,40,Other
AFM2,9.960000038146973,0,1,303.5162048339844,10,4,Other
Adapt existing testing experience and knowledge to Agile values and principles.,9.960000038146973,0,0,303.5162048339844,10,79,Other
AFM3,9.960000038146973,0,1,328.4761962890625,10,4,Other
Support the Agile team in planning test-related activities.,9.960000038146973,0,0,328.4761962890625,10,59,Other
AFM4,9.960000038146973,0,1,353.55621337890625,10,4,Other
Apply relevant methods and techniques for testing in an Agile project.,9.960000038146973,0,0,353.55621337890625,10,70,Other
AFM5,9.960000038146973,0,1,378.6361999511719,10,4,Other
Assist the Agile team in test automation activities.,9.960000038146973,0,0,378.6361999511719,10,52,Other
AFM6,9.960000038146973,0,1,403.7362060546875,10,4,Other
